# pid 2708282
time	RSS	X pixmaps	CPU	Open files
12:23:36	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:37	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:38	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:39	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:40	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:41	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:42	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:43	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:44	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:45	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:46	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:47	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:48	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:49	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:50	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:51	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:52	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:53	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:54	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:55	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:56	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:57	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:58	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:23:59	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:00	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:01	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:02	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:03	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:04	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:05	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:06	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:07	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:08	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:09	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:10	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:11	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:12	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:13	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:14	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:15	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:16	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:17	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:18	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:19	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:20	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:21	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:22	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:23	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:24	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:25	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:26	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:27	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:28	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:29	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:30	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:31	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:32	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:33	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:34	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:35	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:36	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:37	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:38	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:39	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:40	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:41	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:42	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:43	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:44	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:45	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:46	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:47	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:48	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:49	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:50	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:51	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:52	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:53	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:54	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:55	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:56	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:57	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:58	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:24:59	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:00	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:01	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:02	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:03	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:04	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:05	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:06	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:07	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:08	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:09	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:10	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:11	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:12	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:13	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:14	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:15	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:16	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:17	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:18	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:19	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:20	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:21	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:22	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
12:25:23	4965.3 MB	15 pxm, 11.8 MB	0% = 0.0 cores, peak thread 0%	10
